timestamp,event_type,severity,message
2026-08-12 01:20:32,YAWNING,MODERATE,Yawning detected
2026-08-12 01:22:45,YAWNING,MODERATE,Yawning detected
2026-08-12 01:22:48,YAWNING,MODERATE,Yawning detected
2026-08-12 01:22:50,YAWNING,MODERATE,Yawning detected
2026-08-12 01:22:57,YAWNING,MODERATE,Yawning detected
2026-08-12 01:22:58,GAZE_AWAY,MODERATE,Prolonged gaze away for 1.0s
2026-08-12 01:23:00,RISK_TRANSITION,LOW,Risk changed from NORMAL to LOW
2026-08-12 01:23:02,YAWNING,MODERATE,Yawning detected
2026-08-12 01:23:06,YAWNING,MODERATE,Yawning detected
2026-08-12 01:23:08,YAWNING,MODERATE,Yawning detected
2026-08-12 01:23:12,YAWNING,MODERATE,Yawning detected
2026-08-12 01:23:17,YAWNING,MODERATE,Yawning detected
2026-08-12 01:23:19,YAWNING,MODERATE,Yawning detected
2026-08-12 01:23:22,YAWNING,MODERATE,Yawning detected
2026-08-12 01:23:24,YAWNING,MODERATE,Yawning detected
2026-08-12 01:23:26,RISK_TRANSITION,LOW,Risk changed from NORMAL to LOW
2026-08-12 01:23:27,YAWNING,MODERATE,Yawning detected
2026-08-12 01:23:30,RISK_TRANSITION,LOW,Risk changed from NORMAL to LOW
2026-08-12 01:23:33,YAWNING,MODERATE,Yawning detected
2026-08-12 01:23:34,RISK_TRANSITION,LOW,Risk changed from NORMAL to LOW
2026-08-12 01:23:35,GAZE_AWAY,MODERATE,Prolonged gaze away for 1.0s
2026-08-12 01:23:37,RISK_TRANSITION,LOW,Risk changed from NORMAL to LOW
2026-08-12 01:23:39,YAWNING,MODERATE,Yawning detected
2026-08-12 01:23:43,RISK_TRANSITION,LOW,Risk changed from NORMAL to LOW
2026-08-12 01:23:44,GAZE_AWAY,MODERATE,Prolonged gaze away for 1.0s
2026-08-12 01:23:45,EYE_CLOSURE,HIGH,Eyes closed for 1.5s
2026-08-12 01:23:45,MICROSLEEP,CRITICAL,Microsleep detected
2026-08-12 01:23:45,INTERVENTION,HIGH,Intervention changed from NORMAL to HIGH
2026-08-12 01:23:46,RISK_TRANSITION,MODERATE,Risk changed from LOW to MODERATE
2026-08-12 01:23:47,YAWNING,MODERATE,Yawning detected
2026-08-12 01:23:49,INTERVENTION,NORMAL,Intervention changed from HIGH to NORMAL
2026-08-12 01:23:49,YAWNING,MODERATE,Yawning detected
2026-08-12 01:23:51,YAWNING,MODERATE,Yawning detected
2026-08-12 01:23:53,YAWNING,MODERATE,Yawning detected
2026-08-12 01:23:56,YAWNING,MODERATE,Yawning detected
2026-08-12 01:23:58,YAWNING,MODERATE,Yawning detected
2026-08-12 01:24:00,YAWNING,MODERATE,Yawning detected
2026-08-12 01:24:03,YAWNING,MODERATE,Yawning detected
2026-08-12 01:24:07,YAWNING,MODERATE,Yawning detected
2026-08-12 01:29:52,YAWNING,MODERATE,Yawning detected
2026-08-12 01:29:52,RISK_TRANSITION,LOW,Risk changed from NORMAL to LOW
2026-08-12 01:29:55,YAWNING,MODERATE,Yawning detected
2026-08-12 01:29:58,YAWNING,MODERATE,Yawning detected
2026-08-12 01:30:00,YAWNING,MODERATE,Yawning detected
